subject,n_test,accuracy,balanced_acc,macro_f1
S10,426,0.9788732394366197,0.9777777777777779,0.9669230133134872
S11,417,0.9376498800959233,0.9312169312169312,0.9053748611270734
S13,417,0.9568345323741008,0.9104477611940299,0.9285244344572758
S14,417,0.9544364508393285,0.9497354497354498,0.9303127190329424
S15,418,0.9521531100478469,0.8958333333333334,0.914117015566291
S16,415,0.9325301204819277,0.8541666666666666,0.8730935251798561
S17,426,0.9835680751173709,0.9641025641025641,0.9726062242571883
S2,395,0.8582278481012658,0.8348082595870207,0.7876319758672699
S3,401,0.827930174563591,0.8050847457627119,0.7466975596545602
S4,404,0.9579207920792079,0.9128205128205128,0.9272761461528517
S5,414,0.9975845410628019,0.9948717948717949,0.9960213205323646
S6,412,0.7669902912621359,0.675743135920127,0.6511872895906906
S7,411,0.9829683698296837,0.9641025641025641,0.9759902134658495
S8,412,0.9733009708737864,0.9427083333333334,0.9606725881235686
S9,411,0.9829683698296837,0.9803921568627452,0.9728673597286736
