n_ref,centre_err_median_mean,centre_err_median_max,centre_err_p90_mean,centre_err_p90_max,scale_err_median_mean,scale_err_median_max,scale_err_p90_mean,scale_err_p90_max,centre_err_EDA_mean,centre_err_EDA_max,centre_err_HR_mean,centre_err_HR_max,centre_err_IMU_mean,centre_err_IMU_max,centre_err_CROSS_mean,centre_err_CROSS_max
10,0.4943218208749923,1.265244242650927,1.9676851475701864,6.313659077558018,0.7128860390910295,0.8598382749326144,1.1455115996245793,2.727133533382154,0.8112548278045607,3.809655530579255,0.3763731325455354,1.0739304642215997,0.8443614157335482,2.7487194590056467,0.7802909690778689,2.3743443923968557
15,0.42255581932095476,0.9637449954208501,1.5792580202973994,5.631923482988832,0.6007822953794358,0.7981488553943878,1.1623599910380398,3.5528617322025435,0.604149417233444,2.5699175398425207,0.3217541323746037,0.8579270816910086,0.7138489707057852,2.5814268188603986,0.6191633300437094,1.7014793070917347
20,0.3439649671501625,0.7333510492834515,1.3717309995695188,5.215131995622534,0.540632161779562,0.8122523034255446,1.04782878739588,2.0520588123637804,0.45316724704426314,1.4258300400311845,0.25821440130219847,0.7543182354801202,0.5774253309561481,2.5232016212870705,0.51068930234987,1.4284391403994812
25,0.33506320285535424,0.6694160384823408,1.227705218358101,4.720153216004791,0.5718402805111604,0.7779551039056873,1.088836930696161,2.845827842868389,0.4004261068880648,1.3840104127903907,0.2744307135268815,0.6656875771575556,0.5006018498998639,2.006796659197907,0.4864043500108523,1.4157390332431214
30,0.31776224710923606,0.5821880109749642,0.9952489044818532,2.788409831364872,0.5602386393350528,0.7272305144473716,1.1556772711395098,3.254324217723282,0.3672136341609952,1.3415880189513554,0.2825403735557313,0.6186489863130848,0.41987107999732765,1.4025444139203556,0.5026546225443141,1.414593258729815
40,0.24183418638131712,0.540666923955428,0.7824839482865471,1.4522483568063733,0.527869553225282,0.7765726128136377,1.1698689981874442,3.4849754212944197,0.2975029179675117,1.1436607513832433,0.23727736212658754,0.5860120818358241,0.3191815682698446,1.0356459749574856,0.3869702676354855,0.9825601083671752
50,0.2188079187907976,0.4576305793196992,0.6682779242609218,1.2871710971018673,0.506035199380447,0.8071065989847716,1.0337892588481359,2.895479423367804,0.2517761361367183,0.9666106364688891,0.19314911389976513,0.37854561282988025,0.269789716026481,0.8127099957397163,0.32398936071494167,0.8366240770767711
75,0.1829753695363628,0.37590038777837853,0.636452936852831,1.2552169234259325,0.4874727600750556,0.8361855313364955,0.8410994221442921,1.0,0.19247174440078935,0.6097676279938646,0.1874286682094608,0.5208496747513955,0.25760220023895525,0.9429974157083987,0.2738110856788702,0.6355329671095169
100,0.1609620478314886,0.3247491237834477,0.5348430991990748,1.0806011081321125,0.4344692489193435,0.7821022756712775,0.8271368196460178,1.0,0.12971632397759142,0.33712121212121215,0.2051975924507999,0.5167307418565646,0.20991387568032469,0.5431163248816936,0.19868017127554263,0.5159253921031505
