feature,importance_mean,importance_sd
t_start,0.4347697525413314,0.01258519931208915
eda_scr_amp_sum,0.1413379097083642,0.007875358665885525
eda_scr_count,0.09594665331876356,0.009123874849790577
eda_range,0.0728604427232561,0.014641498806810597
eda_scr_sd,0.0668684660773175,0.01115158217691
eda_scr_amp_mean,0.06455280045341098,0.012857572494244721
eda_scl_mean,0.05931422216599782,0.010762030031593203
eda_scl_sd,0.029949529140974596,0.004593477984828804
eda_scr_duration_sum,0.015425813876402024,0.0039038001495998497
eda_slope,0.013545725525940366,0.0007072113552807151
eda_scr_risetime_mean,0.005428684468241589,0.0005587784486186381
