feature,importance_mean,importance_sd
eda_scl_mean,0.05524812523831162,0.07190705816555808
eda_scr_amp_sum,0.039650586226532385,0.04917986107697797
eda_scr_count,0.030976495246829876,0.03583648271898132
eda_range,0.023498425872847208,0.03267800277716349
eda_slope,0.010500718471701078,0.013373980454745756
eda_scl_sd,0.006635857603082344,0.012707977144854872
eda_scr_sd,0.004019225854977019,0.01536413456967616
eda_scr_amp_mean,0.0023195043465600294,0.018271759266302035
eda_scr_risetime_mean,0.0006771106188792742,0.01151960238061712
eda_scr_duration_sum,-0.0011955338462410166,0.008572873891074606
