feature,mean_abs_r,sd_abs_r,mean_signed_r
temp_max,0.6536915135348197,0.31124630522443586,-0.571801589929772
temp_mean,0.6510838024067714,0.30772865037922054,-0.5614855752109048
temp_baseline_delta,0.6510838024067714,0.30772865037922054,-0.5614855752109048
temp_min,0.6464737144091663,0.30767773060844883,-0.5515579988588365
eda_scl_mean,0.5976362946046958,0.3035563782888423,0.41500396776926635
acc_y_mean,0.5538238813608699,0.28155699240756166,-0.08921034111204067
hr_sd,0.4691169587136243,0.24866327572458533,0.428771818058814
eda_scr_count,0.466592802429048,0.27242506533884603,0.4164711963254708
hr_range,0.4348905975226669,0.24179037650518576,0.4021537295146713
acc_x_mean,0.43264145602610043,0.23257553594063957,0.18351498297384777
acc_z_mean,0.43114300293406227,0.2784849566437342,-0.11213304418291689
hr_mean,0.42163475015941076,0.25758226663442096,0.15302571954414956
hr_baseline_delta,0.4216347501594107,0.257582266634421,0.15302571954414954
hr_min,0.4216070895659461,0.2027189815269705,-0.22622479569699078
acc_mag_mean,0.42070926224551314,0.24452698468414338,-0.06869878698676271
eda_scr_duration_sum,0.4071434095300281,0.25089858752957944,0.3651795323956755
eda_scr_amp_sum,0.4027135171234749,0.30313372976425945,0.3950455397157787
eda_range,0.4023447601986128,0.3104071374720691,0.36940155832240534
temp_range,0.3757005584658578,0.16491620671809046,-0.01683630247341749
eda_scr_sd,0.3680602531712735,0.2986651206025248,0.33956467831392806
temp_slope,0.36692353361396407,0.2265071868553882,-0.3526362953375364
eda_scl_sd,0.36375077724954347,0.2755020918560392,0.29121855662703344
eda_scr_amp_mean,0.3618064672072917,0.27269484585012327,0.34234384763837755
acc_z_sd,0.32545344000707055,0.1276985376121123,-0.10920999011004705
acc_x_peakfreq,0.3196241384932283,0.21312428892326513,0.29434630305845094
acc_mag_sd,0.3096338253303639,0.20271921939638066,0.1350124813479919
acc_z_absint,0.2988270210621856,0.13135528827980258,-0.1178914412102037
acc_x_sd,0.29538649760175617,0.20950423822970174,-0.06244220150710495
acc_mag_absint,0.294030596202006,0.20831487240776453,0.14194102088493424
hr_max,0.29142500740910254,0.20557934762139318,0.2019213358695738
acc_x_absint,0.28254510697521823,0.20371434758864715,-0.09013578916370754
acc_y_sd,0.2583243146606881,0.15190649319230007,-0.08463797332718952
acc_y_absint,0.2487346236975957,0.1570314134774687,-0.10737613658988471
eda_slope,0.24536912014817122,0.16727688250176068,0.21683169443983394
acc_y_peakfreq,0.2074702079502643,0.11371612655537061,0.16066002075115554
eda_scr_risetime_mean,0.16053035350242056,0.19336561516013756,0.09135915248101081
acc_z_peakfreq,0.1558988427167081,0.12396234159787962,0.04890334425117763
motion_fraction,0.15143836385313644,0.12792053595533553,0.024880487956485963
eda_range_gated,0.1411295905440572,0.12770346158239954,-0.019479636794100558
hr_delta_x_still,0.12992354432888462,0.12631599822043232,0.0921815582984813
hr_slope,0.06705721613382783,0.05104942880238611,-0.007741580148636933
motion_flag,0.05069123175333054,0.04073118890520461,0.035188765387825324
