task,model,feature_set,n_features,contract_n_features,n_folds,accuracy_mean,accuracy_sd,balanced_acc_mean,balanced_acc_sd,macro_f1_mean,macro_f1_sd,pooled_macro_f1,worst_fold_macro_f1,best_fold_macro_f1,standardise,n_ref_windows
binary,rf,clean,29,33,15,0.8898464669647808,0.07759550735894788,0.8485529828238945,0.13808313559729632,0.8440760546548719,0.1418777275586835,0.8632985864517194,0.4959261804260332,0.9851925330113069,baseline,40
binary,rf,device,15,33,15,0.8895941689946782,0.08850042799520547,0.8512033098396936,0.14426694485314664,0.8449887750122795,0.15201500686558084,0.863810550963041,0.4820451127819549,0.994014460116155,baseline,40
binary,rf,time_only,1,33,15,0.9556743479443097,0.050628724858253316,0.9603333539765646,0.045818733415310856,0.9495475660170516,0.057044189517173834,0.9483136881970686,0.849459347389238,1.0,baseline,40
3class,rf,clean,29,33,15,0.7783041360694075,0.10353027716456457,0.6489699487578956,0.13626496530263252,0.6326841235489387,0.1518655031027595,0.6649097749600111,0.4170794017514725,0.9188769414575866,baseline,40
3class,rf,device,15,33,15,0.7789438058505158,0.09665265933366698,0.653603849511465,0.14013583089596693,0.6354064016770624,0.15214497587237677,0.6686860425380808,0.4020492259717117,0.8878677691439197,baseline,40
3class,rf,time_only,1,33,15,0.9285932105667919,0.07282338986729292,0.9026558342051155,0.1064760222653431,0.8923236863953881,0.11176760285766446,0.8915572992270726,0.686236746812715,1.0,baseline,40
