n_ref,n_window_s,hr_floor_s,warmup_s,warmup_binding,fallback_rate,task,model,feature_set,n_features,fixed_bal_mean,fixed_bal_sd,fixed_bal_min,fixed_bal_p10,fixed_macro_f1_mean,fixed_n_test_total,fixed_n_folds,per_n_bal_mean,per_n_bal_sd,per_n_bal_min,per_n_bal_p10,per_n_macro_f1_mean,per_n_n_test_total,per_n_n_folds
10,105.0,600.0,600.0,hr_baseline,0.11296296296296296,binary,rf,all,36,0.8083702816303601,0.17434727622605292,0.5,0.5546965452847805,0.7830719824127408,4696,15,0.8214820526484169,0.17390773227704526,0.5,0.5546965452847805,0.801107782623928,6046,15
15,130.0,600.0,600.0,hr_baseline,0.08333333333333333,binary,rf,all,36,0.8099286063669652,0.17381679564355743,0.5,0.5503641456582633,0.7890965604453248,4696,15,0.8195492679311388,0.17431504788453445,0.5,0.5503641456582633,0.8062356085869207,5971,15
20,155.0,600.0,600.0,hr_baseline,0.07222222222222222,binary,rf,all,36,0.8291864779747954,0.1604644578484953,0.4945054945054945,0.5912263210368893,0.8158201738646802,4696,15,0.8370123924377156,0.16183551491971984,0.4961832061068702,0.5912263210368893,0.8310634833392491,5896,15
25,180.0,600.0,600.0,hr_baseline,0.06851851851851852,binary,rf,all,36,0.8211107743784894,0.16456501887353056,0.49725274725274726,0.554194559179604,0.8038926728529134,4696,15,0.8279699714089358,0.1667015263812023,0.4980544747081712,0.554194559179604,0.8173100451804497,5821,15
30,205.0,600.0,600.0,hr_baseline,0.06851851851851852,binary,rf,all,36,0.8434049083669419,0.13803396920273717,0.49725274725274726,0.6813345677253952,0.834892277424968,4696,15,0.8514606780631179,0.13911073866735973,0.498015873015873,0.6813345677253952,0.8475540988697626,5746,15
40,255.0,600.0,600.0,hr_baseline,0.06851851851851852,binary,rf,all,36,0.8416981161976076,0.15166623503772766,0.5575221238938053,0.5860186746334586,0.8320192403911629,4696,15,0.847583983279225,0.15362778483662143,0.5575221238938053,0.5870199053128353,0.843156586876496,5596,15
50,305.0,600.0,600.0,hr_baseline,0.07037037037037037,binary,rf,all,36,0.8596758241732868,0.15872251653423303,0.5486725663716814,0.5859266255086647,0.8502800754421871,4696,15,0.8636050012201326,0.1588838281748427,0.5486725663716814,0.5870128500095446,0.8587042245822754,5446,15
75,430.0,600.0,600.0,hr_baseline,0.08333333333333333,binary,rf,all,36,0.8626956301032009,0.14244717592049214,0.5833333333333334,0.6163523142524192,0.8561152631872424,4696,15,0.8652611838208576,0.1430407624291085,0.5833333333333334,0.6167504668244848,0.860867792537767,5071,15
100,555.0,600.0,600.0,hr_baseline,0.07777777777777778,binary,rf,all,36,0.8803514873001366,0.13549977520628506,0.6228813559322034,0.6352685662420176,0.8764154559644879,4696,15,0.8803514873001366,0.13549977520628506,0.6228813559322034,0.6352685662420176,0.8764154559644879,4696,15
