feature,importance_mean,importance_sd
t_start,0.4680327811183085,0.03876320151748733
acc_mag_absint,0.010620540802982604,0.01875566770254468
eda_scr_amp_sum,0.006221023615515512,0.012764350189846865
eda_scr_count,0.0033085016158372494,0.00609046574029215
acc_mag_sd,0.00300807155292066,0.00774730763839808
hr_sd,0.002964368794873585,0.008805335234118744
eda_scr_amp_mean,0.002014882609221135,0.007044585352883489
eda_scr_sd,0.0015058276218408132,0.006055400167925905
acc_x_sd,0.0012627832551999404,0.0034499415710722305
hr_baseline_delta,0.0012195753090758433,0.006903443160742427
eda_range,0.0010939902799042979,0.008952309252987985
hr_mean,0.0010680934078242837,0.00803891168179364
eda_scr_duration_sum,0.000997396281381692,0.004128907376513857
eda_scl_mean,0.0008241957219636136,0.00409160431798868
eda_scl_sd,0.0007756538228056413,0.0031246355066350357
acc_x_peakfreq,0.0007077117324934139,0.002350616250327452
acc_x_absint,0.0006560091141410927,0.0030656967750506167
motion_flag,0.0005598106247260079,0.0018613268808417376
hr_range,0.0005388484012616216,0.006099193076368656
motion_fraction,0.0004165277759011365,0.0018287158628740312
acc_y_peakfreq,9.774531924585884e-05,0.0006411582516080317
hr_max,-0.00010753392442756895,0.004084017071720694
hr_slope,-0.00012132768674463593,0.0006829025251565617
acc_z_peakfreq,-0.00015109535460140782,0.0021394862496285577
acc_z_absint,-0.0002675889150955644,0.004546855970731879
hr_delta_x_still,-0.000321357771392002,0.0052723545593613835
eda_scr_risetime_mean,-0.00033323686410792415,0.0012498660174955292
eda_range_gated,-0.0003651151971490485,0.0022651255070357318
acc_y_sd,-0.0005024853150687407,0.0024419408297269487
acc_y_absint,-0.0005328952132375564,0.002248745785124734
eda_slope,-0.0005730121662068862,0.0018704113521626042
acc_z_sd,-0.0006896009893705689,0.0035793329083554687
hr_min,-0.0010171350989015737,0.0023741802440458777
