subject,feature,d_subject,d_cohort,sign_agrees,abs_d_subject,abs_d_cohort
S2,eda_scl_mean,2.910371767633929,6.2567087504657595,True,2.910371767633929,6.2567087504657595
S2,eda_scr_count,2.0594788227920273,2.6790860518379533,True,2.0594788227920273,2.6790860518379533
S2,eda_range,0.5967061342546011,2.5724097677289937,True,0.5967061342546011,2.5724097677289937
S2,eda_scr_amp_sum,1.010176906333557,2.5636172354059177,True,1.010176906333557,2.5636172354059177
S2,eda_scr_sd,0.15915444334741777,2.299058370810164,True,0.15915444334741777,2.299058370810164
S2,eda_scl_sd,0.001244827989403867,2.0660728888710254,True,0.001244827989403867,2.0660728888710254
S2,eda_scr_duration_sum,1.639669078828034,1.7096724739273137,True,1.639669078828034,1.7096724739273137
S2,eda_scr_amp_mean,0.4032482635079808,1.653298785380605,True,0.4032482635079808,1.653298785380605
S2,eda_slope,0.8470619392320309,0.6134040286556912,True,0.8470619392320309,0.6134040286556912
S2,eda_scr_risetime_mean,0.1481520465659933,0.32261764131890347,True,0.1481520465659933,0.32261764131890347
S3,eda_scl_mean,1.0103777552531596,6.2567087504657595,True,1.0103777552531596,6.2567087504657595
S3,eda_scr_count,1.0464020962456915,2.6790860518379533,True,1.0464020962456915,2.6790860518379533
S3,eda_range,1.5091561430218052,2.5724097677289937,True,1.5091561430218052,2.5724097677289937
S3,eda_scr_amp_sum,1.366938016840611,2.5636172354059177,True,1.366938016840611,2.5636172354059177
S3,eda_scr_sd,0.8410421305443738,2.299058370810164,True,0.8410421305443738,2.299058370810164
S3,eda_scl_sd,0.9339651044541287,2.0660728888710254,True,0.9339651044541287,2.0660728888710254
S3,eda_scr_duration_sum,1.0412342858535006,1.7453072371982197,True,1.0412342858535006,1.7453072371982197
S3,eda_scr_amp_mean,1.1043187340099503,1.653298785380605,True,1.1043187340099503,1.653298785380605
S3,eda_slope,0.5851699937308067,0.6762923653569035,True,0.5851699937308067,0.6762923653569035
S3,eda_scr_risetime_mean,0.34013105080480666,0.2810318375928562,True,0.34013105080480666,0.2810318375928562
