subject,n_test,accuracy,balanced_acc,macro_f1
S10,426,0.9835680751173709,0.9827160493827161,0.9740963799691006
S11,417,0.9784172661870504,0.9761904761904763,0.9657565107686761
S13,417,0.9400479616306955,0.8756218905472637,0.8993760803029615
S14,417,0.9064748201438849,0.8968253968253969,0.8620440592271579
S15,418,0.9425837320574163,0.875,0.8945054945054944
S16,415,0.9493975903614458,0.890625,0.9087491809497533
S17,426,0.9765258215962441,0.9566951566951567,0.961379523423319
S2,395,0.9240506329113924,0.911504424778761,0.8848770277341705
S3,401,0.8229426433915212,0.7994350282485877,0.7388210462837329
S4,404,0.9405940594059405,0.8769230769230769,0.8935205499488079
S5,414,0.9951690821256038,0.9897435897435898,0.9920138888888889
S6,412,0.7694174757281553,0.6772180621738144,0.6527340042408535
S7,411,0.9805352798053528,0.958974358974359,0.9723949500659507
S8,412,0.9733009708737864,0.9427083333333334,0.9606725881235686
S9,411,0.9927007299270073,0.9915966386554622,0.9882258838585827
