subject,n_test,accuracy,balanced_acc,macro_f1
S10,426,0.9436619718309859,0.9448644520809469,0.9361638361638361
S11,417,0.9088729016786571,0.8559564719358534,0.8826917382291974
S13,417,0.9136690647482014,0.8757706704833205,0.8919378059314713
S14,417,0.7529976019184652,0.5912698412698413,0.5791799343555577
S15,418,0.8133971291866029,0.8655172413793104,0.8055442899062433
S16,415,0.9036144578313253,0.9310344827586207,0.8939974457215836
S17,426,0.863849765258216,0.7871706758304696,0.8190314358538657
S2,395,0.7443037974683544,0.5530973451327433,0.5200601503759399
S3,401,0.8054862842892768,0.6694915254237288,0.6926055507508453
S4,404,0.995049504950495,0.9965156794425087,0.994014460116155
S5,414,0.8985507246376812,0.8235294117647058,0.859629294755877
S6,412,0.9878640776699029,0.9817528613217461,0.9852662446804706
S7,411,0.9683698296836983,0.9499768612251982,0.9604412690186206
S8,412,0.9344660194174758,0.8911290322580645,0.9165259674478288
S9,411,0.9221411192214112,0.9452054794520548,0.9117552334943639
